Florida Cities by Population Rank,City,Population
402,Macclenny,"6,423"
403,Crystal Lake,"6,355"
404,Wildwood,"6,311"
405,Naples Park,"6,258"
406,Gulf Breeze,"6,251"
407,Ocean City,"6,227"
408,Combee Settlement,"6,189"
409,Heathrow,"6,135"
410,Pahokee,"6,129"
411,Naples Manor,"6,121"
412,Sky Lake,"6,112"
413,Orlovista,"6,109"
414,Lecanto,"6,099"
415,River Park,"6,055"
416,South Gate Ridge,"6,045"
417,Inverness Highlands South,"6,010"
418,DeFuniak Springs,"5,992"
419,Mims,"5,982"
420,Tequesta,"5,957"
421,Fort Meade,"5,938"
422,Bay Harbor Islands,"5,930"
423,Pelican Bay,"5,876"
424,Siesta Key,"5,850"
425,Surfside,"5,844"
426,High Springs,"5,764"
427,Willow Oak,"5,759"
428,Mount Plymouth,"5,739"
429,Indiantown,"5,722"
430,Palm Springs North,"5,624"
431,Newberry,"5,615"
432,Okeechobee,"5,596"
433,Fellsmere,"5,569"
434,South Apopka,"5,525"
435,Lake Alfred,"5,490"
436,Samsula-Spruce Creek,"5,489"
437,Mascotte,"5,442"
438,Fruitland Park,"5,429"
439,Big Pine Key,"5,339"
440,Lely Resort,"5,335"
441,Starke,"5,324"
442,Warm Mineral Springs,"5,305"
443,South Highpoint,"5,303"
444,St. Augustine South,"5,271"
445,South Sarasota,"5,265"
446,Cocoa West,"5,250"
447,Nassau Village-Ratliff,"5,245"
448,Timber Pines and Zephyrhills South,"5,207"
449,Jan Phyl Village,"5,189"
450,Floral City,"5,188"
451,Rio Pinar,"5,116"
452,South Bay,"5,092"
453,Wahneta,"5,084"
454,Bay Hill,"5,081"
455,South Pasadena,"5,061"
456,Hutchinson Island South,"5,055"
457,Kenneth City,"5,052"
458,River Ridge,"5,002"
459,Crawfordville,"4,999"
460,Valparaiso,"4,996"
461,Butler Beach,"4,983"
462,Whiskey Creek,"4,979"
463,Orangetree,"4,948"
464,Pine Manor,"4,926"
465,Flagler Beach,"4,888"
466,Wauchula,"4,875"
467,Plantation CDP,"4,790"
468,Tice,"4,764"
469,Belleview,"4,759"
470,Zephyrhills West,"4,734"
471,Lake Sarasota,"4,718"
472,LaBelle,"4,716"
473,Goulding,"4,624"
474,Suncoast Estates,"4,587"
475,Port LaBelle,"4,583"
476,Sawgrass,"4,571"
477,Parker,"4,557"
478,Brookridge,"4,543"
479,Moon Lake,"4,525"
480,Fussels Corner,"4,413"
481,Daytona Beach Shores,"4,393"
482,The Meadows,"4,383"
483,Buckingham,"4,366"
484,Lochmoor Waterway Estates,"4,363"
485,Madeira Beach,"4,352"
486,Kensington Park,"4,351"
487,Vamo,"4,345"
488,Cortez,"4,332"
489,Fort Pierce South,"4,318"
490,Loughman,"4,292"
491,June Park,"4,225"
492,West Bradenton,"4,213"
493,Lake Belvedere Estates,"4,209"
494,Stock Island,"4,201"
495,Indian Rocks Beach,"4,192"
496,White City,"4,185"
497,Mary Esther,"4,177"
498,San Castle,"4,170"
499,West DeLand,"4,162"
500,Dundee,"4,142"
501,Holmes Beach,"4,134"
502,Connerton,"4,132"
503,Ridge Manor,"4,114"
504,Indian River Shores,"4,112"
505,Alturas,"4,090"
506,Jasper,"4,077"
507,Grant-Valkaria,"4,047"
508,South Brooksville,"4,038"
509,Mulberry,"3,993"
510,Taylor Creek and Belleair,"3,982"
511,Bagdad,"3,979"
512,Vineyards,"3,945"
513,Samoset,"3,922"
514,Ridge Wood Heights,"3,878"
515,Charlotte Harbor,"3,870"
516,Three Oaks,"3,850"
517,Lely,"3,808"
518,Holden Heights,"3,801"
519,Laguna Beach,"3,764"
520,Pea Ridge,"3,727"
521,Highland Beach,"3,720"
522,South Beach,"3,675"
523,St. James City,"3,671"
524,Lower Grand Lagoon,"3,669"
525,Point Baker and Davenport,"3,665"
526,Montura,"3,654"
527,Umatilla,"3,645"
528,Desoto Lakes,"3,590"
529,High Point,"3,571"
530,Tierra Verde,"3,560"
531,Tyndall AFB,"3,557"
532,Cedar Grove,"3,547"
533,Lake Clarke Shores,"3,541"
534,Feather Sound,"3,532"
535,Flagler Estates,"3,520"
536,Chipley,"3,491"
537,Dover,"3,473"
538,Juno Beach,"3,472"
539,Pretty Bayou,"3,458"
540,Port St. Joe,"3,453"
541,North Brooksville,"3,431"
542,Loxahatchee Groves,"3,424"
543,Ellenton,"3,423"
544,Royal Palm Estates,"3,416"
545,Watergate,"3,411"
546,North River Shores,"3,405"
547,Harbour Heights,"3,401"
548,Nokomis,"3,376"
549,Midway,"3,322"
550,Cleveland,"3,317"
551,Windermere,"3,261"
552,Seminole Manor,"3,226"
553,Inverness Highlands North,"3,219"
554,Whitfield,"3,215"
555,Biscayne Park,"3,197"
556,Melbourne Beach,"3,189"
557,Lake Panasoffkee,"3,170"
558,Ridgecrest,"3,168"
559,Bay Pines,"3,160"
560,Ponce Inlet,"3,148"
561,Frostproof,"3,142"
562,Hilliard,"3,127"
563,Chattahoochee,"3,124"
564,Island Walk,"3,121"
565,Crystal River,"3,059"
566,Harbor Bluffs,"3,041"
567,Watertown,"3,030"
568,Bushnell,"3,027"
569,Sharpes,"3,016"
570,Zellwood,"2,997"
571,Big Coppitt Key,"2,994"
572,Dade City North,"2,981"
573,Moore Haven,"2,977"
574,Bal Harbour,"2,959"
575,Clarcona,"2,935"
576,Malabar,"2,934"
577,Manatee Road and Greenbriar,"2,925"
578,Villano Beach,"2,903"
579,Bowling Green,"2,885"
580,Oakland,"2,863"
581,Madison,"2,855"
582,Bunnell,"2,827"
583,Indialantic,"2,804"
584,Edgewood,"2,799"
585,Tiger Point,"2,779"
586,Woodville,"2,770"
587,Port Richey,"2,741"
588,Hypoluxo,"2,733"
589,Lake Helen,"2,708"
590,Bonifay and Carrabelle,"2,707"
591,Wewahitchka,"2,695"
592,Freeport,"2,688"
593,Williston,"2,685"
594,Alva,"2,684"
595,Woodlawn Beach,"2,671"
596,Balm,"2,664"
597,Tangelo Park,"2,648"
598,De Leon Springs,"2,627"
599,Blountstown,"2,617"
600,Cabana Colony,"2,609"
601,Tangerine,"2,579"
602,Geneva,"2,573"
